match_id,team1_id,team2_id
1,3,1
2,5,4
3,6,7
4,8,16
5,10,20
6,13,9
7,15,11
8,18,2
9,14,19
10,17,12
11,2,14
12,4,18
13,7,3
14,9,8
15,11,5
16,12,15
17,1,6
18,16,13
19,20,17
20,19,10
21,2,3
22,4,8
23,11,6
24,12,1
25,14,16
26,15,10
27,19,7
28,5,9
29,17,18
30,20,13
31,1,15
32,3,4
33,6,2
34,7,17
35,10,12
36,13,14
37,16,19
38,18,20
39,9,11
40,8,5
41,14,9
42,2,8
43,5,1
44,11,7
45,12,16
46,15,18
47,20,3
48,4,10
49,17,6
50,19,13
51,3,11
52,6,12
53,8,15
54,9,19
55,10,5
56,13,2
57,18,14
58,1,17
59,16,20
60,7,4
61,4,1
62,5,15
63,6,16
64,9,18
65,13,8
66,20,14
67,7,10
68,11,12
69,17,2
70,19,3
71,2,20
72,3,6
73,10,13
74,12,5
75,15,4
76,16,9
77,18,11
78,8,19
79,14,17
80,1,7
81,1,2
82,4,12
83,6,15
84,7,14
85,8,18
86,9,20
87,16,5
88,3,10
89,13,11
90,19,17
91,5,3
92,10,1
93,11,4
94,12,7
95,14,6
96,17,13
97,18,16
98,2,19
99,15,9
100,20,8
101,16,2
102,3,15
103,4,14
104,6,5
105,7,20
106,13,12
107,1,18
108,8,17
109,9,10
110,19,11
111,2,4
112,5,7
113,10,6
114,11,1
115,14,3
116,15,16
117,18,13
118,20,19
119,12,8
120,17,9
121,1,14
122,4,9
123,7,2
124,11,16
125,15,20
126,3,8
127,6,13
128,10,18
129,12,19
130,9,7
131,14,15
132,2,12
133,8,11
134,16,10
135,18,6
136,19,4
137,20,5
138,13,1
139,17,3
140,14,5
141,16,4
142,18,12
143,19,6
144,20,11
145,2,10
146,9,3
147,13,7
148,17,15
149,8,1
150,3,18
151,1,16
152,6,9
153,11,2
154,12,20
155,15,13
156,5,19
157,7,8
158,10,14
159,12,9
160,15,2
161,1,19
162,4,20
163,7,16
164,6,8
165,11,14
166,9,1
167,14,12
168,17,11
169,20,6
170,2,6
171,4,3
172,12,10
173,15,1
174,17,7
175,19,16
176,14,13
177,7,15
178,10,11
179,16,17
180,18,19
181,3,12
182,6,4
183,13,5
184,1,12
185,7,19
186,18,17
187,3,2
188,6,11
189,8,4
190,9,5
191,13,20
192,16,3
193,19,15
194,4,7
195,2,13
196,12,6
197,14,18
198,15,8
199,20,16
200,11,3
201,19,9
202,4,6
203,3,13
204,10,17
205,18,15
206,3,20
207,8,2
208,9,14
209,13,19
210,16,12
211,1,5
212,6,17
213,7,11
214,10,4
215,5,18
216,5,13
217,14,8
218,19,18
219,2,9
220,12,3
221,15,7
222,17,16
223,11,10
224,20,1
225,3,7
226,8,9
227,13,16
228,15,12
229,18,4
230,5,11
231,10,19
232,14,2
233,17,20
234,13,4
235,1,3
236,2,18
237,4,5
238,7,6
239,11,15
240,12,17
241,16,8
242,19,14
243,9,13
244,20,10
245,5,17
246,11,9
247,18,7
248,1,20
249,16,15
250,3,14
251,4,2
252,7,5
253,8,12
254,9,17
255,13,18
256,19,20
257,5,10
258,2,16
259,5,6
260,10,9
261,11,19
262,14,4
263,15,3
264,20,7
265,12,13
266,18,1
267,17,8
268,9,2
269,15,6
270,16,14
271,20,18
272,3,5
273,4,11
274,13,17
275,1,10
276,6,14
277,8,20
278,9,15
279,16,18
280,19,2
281,7,12
282,1,11
283,4,17
284,8,14
285,20,9
286,2,1
287,10,3
288,17,19
289,4,15
290,5,12
291,6,3
292,9,16
293,11,18
294,13,10
295,20,2
296,17,14
297,19,8
298,7,1
299,5,8
300,14,20
301,1,4
302,2,17
303,8,13
304,16,6
305,18,9
306,3,19
307,10,7
308,12,11
309,15,5
310,13,15
311,16,1
312,17,4
313,18,3
314,14,10
315,19,5
316,11,13
317,6,1
318,8,10
319,12,4
320,14,7
321,5,16
322,1,13
323,3,17
324,10,2
325,12,18
326,15,14
327,4,16
328,5,20
329,6,19
330,11,8
331,7,9
332,13,6
333,2,15
334,9,12
335,14,11
336,16,7
337,18,5
338,20,4
339,8,6
340,17,10
341,19,1
342,13,3
343,3,16
344,4,13
345,5,2
346,6,20
347,7,18
348,11,17
349,1,9
350,10,8
351,12,14
352,15,19
353,2,11
354,9,6
355,10,15
356,18,8
357,20,12
358,17,1
359,2,7
360,8,3
361,9,4
362,17,5
363,18,10
364,19,12
365,20,15
366,14,1
367,16,11
368,2,5
369,6,10
370,8,7
371,1,8
372,3,9
373,4,19
374,5,14
375,6,18
376,7,13
377,10,16
378,11,20
379,12,2
380,15,17
