id,name,age,nationality,jersey_number,foot,pos,captain,T_id,appearances,substitutions,goals,penalties,yellow_cards,red_cards
292,Jonny Evans,33,Northern Ireland,6,Right,CB,1,10,25,2,2,0,3,0
293,Wesley Fofana,20,France,3,Right,CB,0,10,12,0,1,0,3,0
294,Kelechi Iheanacho,24,Nigeria,14,Left,ST,0,10,22,21,8,1,3,0
295,James Justin,23,England,2,Right,LWB,0,10,15,4,0,0,0,0
296,Ademola Lookman,25,Nigeria,37,Right,LW,0,10,25,17,8,0,2,0
297,James Maddison,24,England,10,Right,CAM,0,10,40,13,18,0,7,0
298,Wanya Marçal-Madivádua,26,Ecuador,54,Right,RM,0,10,0,1,0,0,0,0
299,Kasey McAteer,24,Germany,49,Right,CB,0,10,0,2,0,0,0,0
300,Nampalys Mendy,29,Senegal,24,Right,CDM,0,10,12,3,0,0,4,0
301,Wilfred Ndidi,24,Nigeria,25,Right,CDM,0,10,29,2,2,0,6,1
302,Ayoze Pérez,27,Spain,17,Right,RW,0,10,11,14,3,0,0,1
303,Ricardo Pereira,27,Portugal,21,Right,RB,0,10,20,4,2,0,4,0
304,Kasper Schmeichel,34,Denmark,1,Right,GK,0,10,53,0,0,0,1,0
305,Boubakary Soumaré,22,France,42,Right,CDM,0,10,18,12,0,0,2,0
306,Luke Thomas,20,England,33,Left,LWB,0,10,31,2,0,0,5,0
307,Youri Tielemans,24,Belgium,8,Right,CM,0,10,46,4,7,3,4,0
308,Jamie Vardy,34,England,9,Right,ST,0,10,25,8,17,0,3,0
309,Jannik Vestergaard,28,Denmark,23,Right,CB,0,10,12,8,0,0,4,0
310,Danny Ward,28,Wales,12,Right,GK,0,10,5,0,0,0,0,0
311,Adrián,34,Spain,13,Right,GK,0,11,1,0,0,0,0,0
312,Trent Alexander-Arnold,22,England,66,Right,RB,0,11,46,0,2,0,5,0
313,Alisson Becker,28,Brazil,1,Right,GK,0,11,53,0,0,0,0,0
314,Owen Beck,26,Northern Ireland,63,Right,LM,0,11,0,2,0,0,0,0
315,Harvey Blair,23,Portugal,86,Left,CAM,0,11,1,0,0,0,0,0
316,Conor Bradley,26,Belgium,84,Right,RB,0,11,3,2,0,0,0,0
317,Luis Díaz,24,Germany,23,Right,CB,0,11,17,8,6,0,0,0
318,Diogo Jota,24,Portugal,20,Right,LW,0,11,39,15,21,0,6,0
319,Ejijah Dixon-Bonner,20,England,45,Right,CDM,0,11,1,1,0,0,0,0
320,Harvey Elliott,18,England,67,Left,RW,0,11,6,5,1,0,0,0
321,Fabinho,27,Brazil,3,Right,CDM,0,11,40,7,8,3,8,0
322,Roberto Firmino,29,Brazil,9,Right,CF,0,11,17,17,11,0,3,0
323,Melkamu Frauendorf,27,Israel,94,Right,CM,0,11,0,1,0,0,0,0
324,Joe Gomez,24,England,12,Right,CB,0,11,11,10,0,0,3,0
325,Kaide Gordon,24,Germany,49,Right,CB,0,11,3,1,1,0,0,0
326,Jordan Henderson,31,England,14,Right,CDM,1,11,42,14,3,0,4,0
327,Curtis Jones,20,England,17,Right,CM,0,11,18,9,1,0,1,0
328,Naby Keita,26,Guinea,8,Right,CM,0,11,25,14,4,0,4,0
329,Caoimhin Kelleher,22,Republic of Ireland,62,Right,GK,0,11,8,0,0,0,1,0
330,Ibrahima Konaté,22,France,5,Right,CB,0,11,25,3,3,0,4,0
331,Billy Koumetio,18,France,89,Left,CB,0,11,1,0,0,0,0,0
332,Sadio Mane,29,Senegal,10,Right,LW,0,11,45,5,23,0,8,0
333,Joël Matip,29,Cameroon,32,Right,CB,0,11,42,1,3,0,3,0
334,James Milner,35,England,7,Right,CM,0,11,14,25,0,0,5,0
335,Takumi Minamino,26,Japan,18,Right,RW,0,11,9,15,10,0,2,0
336,Tyler Morton,26,France,80,Right,LW,0,11,6,3,0,0,2,0
337,James Norris,24,Germany,77,Right,CB,0,11,0,1,0,0,0,0
338,Divock Origi,26,Belgium,27,Right,ST,0,11,5,13,6,0,0,0
339,Alex Oxlade-Chamberlain,27,England,15,Right,CM,0,11,17,12,3,0,0,0
340,Nat Phillips,24,England,47,Right,CB,0,11,1,2,0,0,0,0
341,Andy Robertson,27,Scotland,26,Left,LB,0,11,43,3,3,0,7,1
342,Mohamed Salah,29,Egypt,11,Left,RW,0,11,44,6,31,6,1,0
343,Thiago Alcantara,30,Spain,6,Right,CM,0,11,25,13,2,0,3,0
344,Kostas Tsimikas,25,Greece,21,Left,LB,0,11,19,7,0,0,3,0
345,Virgil Van Dijk,29,Netherlands,4,Right,CB,0,11,50,0,3,0,4,0
346,Neco Williams,20,Wales,76,Right,RB,0,11,4,4,0,0,0,0
347,Max Woltman,24,Germany,82,Right,CB,0,11,1,1,0,0,0,0
348,Nathan Ake,26,Netherlands,6,Left,CB,0,12,19,8,3,0,2,0
349,Bernardo Silva,26,Portugal,20,Left,CAM,0,12,46,4,13,0,6,0
350,Finley Burns,23,Portugal,94,Left,CAM,0,12,1,0,0,0,0,0
351,Scott Carson,35,England,33,Right,GK,0,12,0,1,0,0,0,0
352,Kevin De Bruyne,30,Belgium,17,Right,CM,0,12,39,6,19,1,4,0
353,Liam Delap,18,England,48,Right,ST,0,12,0,3,0,0,0,0
354,Ederson,27,Brazil,31,Left,GK,0,12,49,0,0,0,4,0
355,Sam Edozie,18,England,53,Right,LW,0,12,1,0,0,0,0,0
356,CJ Egan-Riley,20,Spain,56,Right,CDM,0,12,2,1,0,0,0,0
357,Fernandinho,36,Brazil,25,Right,CDM,1,12,17,16,2,0,5,0
358,Ferran Torres,21,Spain,21,Right,RW,0,12,7,0,3,0,0,0
359,Phil Foden,21,England,47,Left,CAM,0,12,36,9,14,0,2,0
360,Gabriel Jesus,24,Brazil,9,Right,ST,0,12,28,13,13,1,5,0
361,Jack Grealish,25,England,10,Right,LW,0,12,31,8,6,0,3,0
362,Ilkay Gundogan,30,Germany,8,Right,CM,0,12,32,11,10,0,2,0
